survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,family_size,age_group,embarked_Q,embarked_S
0,3,0,-0.5398381008882531,1,0,7.25,Third,man,True,,Southampton,no,False,0.03162619319599083,Adult,False,True
1,1,1,0.821886733648099,1,0,71.2833,First,woman,False,C,Cherbourg,yes,False,0.03162619319599083,Adult,False,False
1,3,1,-0.19940689225416505,0,0,7.925,Third,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,1,1,0.5665633271725331,1,0,53.1,First,woman,False,C,Southampton,yes,False,0.03162619319599083,Adult,False,True
0,3,0,0.5665633271725331,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.02919128793712103,0,0,8.4583,Third,man,True,,Queenstown,no,True,-0.620224788788043,Adult,True,False
0,1,0,2.1836115681844515,0,0,51.8625,First,man,True,E,Southampton,no,True,-0.620224788788043,Middle-Aged,False,True
0,3,0,-2.2419941440586935,3,1,21.075,Third,child,False,,Southampton,no,False,1.9871791391480926,Child,False,True
1,3,1,-0.11429909009564304,0,2,11.1333,Third,woman,False,,Southampton,yes,False,0.6834771751800247,Adult,False,True
1,2,1,-1.2207005181564292,1,0,30.0708,Second,child,False,,Cherbourg,yes,False,0.03162619319599083,Teenager,False,False
1,3,1,-2.0717785397416493,1,1,16.7,Third,child,False,G,Southampton,yes,False,0.6834771751800247,Child,False,True
0,3,0,-0.7100537052052971,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,0.9069945358066211,1,5,31.275,Third,man,True,,Southampton,no,False,3.2908811031161602,Adult,False,True
0,3,1,-1.2207005181564292,0,0,7.8542,Third,child,False,,Southampton,no,True,-0.620224788788043,Teenager,False,True
1,2,1,2.268719370342973,0,0,16.0,Second,woman,False,,Southampton,yes,True,-0.620224788788043,Middle-Aged,False,True
0,3,0,-2.2419941440586935,4,1,29.125,Third,child,False,,Queenstown,no,False,2.6390301211321265,Child,True,False
1,2,0,-0.02919128793712103,0,0,13.0,Second,man,True,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,1,0.226132118538445,1,0,18.0,Third,woman,False,,Southampton,no,False,0.03162619319599083,Adult,False,True
1,3,1,-0.02919128793712103,0,0,7.225,Third,woman,False,,Cherbourg,yes,True,-0.620224788788043,Adult,False,False
0,2,0,0.5665633271725331,0,0,26.0,Second,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,2,0,0.48145552501401107,0,0,13.0,Second,man,True,D,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,3,1,-1.1355927159979071,0,0,8.0292,Third,child,False,,Queenstown,yes,True,-0.620224788788043,Teenager,True,False
1,1,0,-0.02919128793712103,0,0,35.5,First,man,True,A,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,1,-1.7313473311075613,3,1,21.075,Third,child,False,,Southampton,no,False,1.9871791391480926,Child,False,True
1,3,1,0.821886733648099,1,5,31.3875,Third,woman,False,,Southampton,yes,False,3.2908811031161602,Adult,False,True
0,3,0,-0.02919128793712103,0,0,7.225,Third,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
0,1,0,-0.7951615073638192,3,2,263.0,First,man,True,C,Southampton,no,False,2.6390301211321265,Adult,False,True
1,3,1,-0.02919128793712103,0,0,7.8792,Third,woman,False,,Queenstown,yes,True,-0.620224788788043,Adult,True,False
0,3,0,-0.02919128793712103,0,0,7.8958,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,1,0,0.9921023379651431,0,0,27.7208,First,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
1,1,1,-0.02919128793712103,1,0,146.5208,First,woman,False,B,Cherbourg,yes,False,0.03162619319599083,Adult,False,False
1,3,1,-0.02919128793712103,0,0,7.75,Third,woman,False,,Queenstown,yes,True,-0.620224788788043,Adult,True,False
0,1,0,-0.02919128793712103,1,0,82.1708,First,man,True,,Cherbourg,no,False,0.03162619319599083,Adult,False,False
0,1,0,1.1623179422821872,1,0,52.0,First,man,True,,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
1,3,0,-0.02919128793712103,0,0,7.2292,Third,man,True,,Cherbourg,yes,True,-0.620224788788043,Adult,False,False
0,3,0,-0.6249459030467751,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,1,-0.8802693095223412,2,0,18.0,Third,woman,False,,Southampton,no,False,0.6834771751800247,Teenager,False,True
1,3,1,-1.2207005181564292,1,0,11.2417,Third,child,False,,Cherbourg,yes,False,0.03162619319599083,Teenager,False,False
